infra_id,type,criticality,lat,lon,elevation_m
School_1,School,High,29.244215751101414,70.4155801931901,113.66782654037254
School_2,School,High,29.67994714335372,70.73616288367018,115.37788655891924
School_3,School,High,29.110224651672485,70.7898972858559,150.5191122304392
School_4,School,High,29.780636071501423,70.98397157617666,86.37267753391107
School_5,School,High,29.815123336228066,71.08572339765826,90.7116695548325
School_6,School,High,29.605867211058797,70.41638689023299,86.98876969606125
School_7,School,High,29.353093849290033,70.52632984533994,136.4414282883589
School_8,School,High,29.754620286291313,70.67569959276737,102.54750735840739
School_9,School,High,29.18932898559573,70.46716251465764,132.8798970480409
School_10,School,High,29.579634717006126,70.44453894366806,114.94439068777613
School_11,School,High,29.42134118450452,71.07838319803757,133.27438680917066
School_12,School,High,29.581651240999058,70.8419070572044,151.08088462649107
School_13,School,High,29.889338664286775,70.67044323971962,96.47035028704045
School_14,School,High,29.737148603190356,70.45094914461973,106.07540451069517
School_15,School,High,29.156018242099602,70.65549416564073,83.41945982323568
Hospital_BHU_16,Hospital/BHU,Critical,29.33221093370825,71.03208089874703,147.71582470160553
Hospital_BHU_17,Hospital/BHU,Critical,29.734097108063942,70.8494549681159,125.43341565059416
Hospital_BHU_18,Hospital/BHU,Critical,29.38918683376256,70.53505383886836,111.59055189221739
Hospital_BHU_19,Hospital/BHU,Critical,29.68626026907854,70.45031009908855,79.59643937385019
Hospital_BHU_20,Hospital/BHU,Critical,29.716438453132014,70.63996160754444,131.9896491783508
Hospital_BHU_21,Hospital/BHU,Critical,29.687734176723602,71.14632370174988,108.82528933497925
Bridge_22,Bridge,Critical,29.386750342678525,71.04525343274217,136.8658144339243
Bridge_23,Bridge,Critical,29.622091791932466,71.04877325916405,127.45054412306123
Bridge_24,Bridge,Critical,29.865955242260764,70.66709953716087,134.84545195934783
Bridge_25,Bridge,Critical,29.859866644589744,70.66749132332899,125.0956637485807
Bridge_26,Bridge,Critical,29.39253613406172,70.76923223310983,83.7751534693711
Bridge_27,Bridge,Critical,29.115474689838592,71.00771957404173,112.86245566588381
Bridge_28,Bridge,Critical,29.59826720612239,70.99196121423832,110.23708412400174
Bridge_29,Bridge,Critical,29.39409410005412,70.5352230484726,139.12817531088015
Main Road_30,Main Road,High,29.76642992686754,70.98737038984427,145.39768266182358
Main Road_31,Main Road,High,29.61844515358065,70.95685293981653,92.86239218052802
Main Road_32,Main Road,High,29.714105787951446,70.66726631544186,111.72285886683392
Main Road_33,Main Road,High,29.35509619180686,70.85463173514181,128.71931106034782
Main Road_34,Main Road,High,29.56044683284419,70.65454975518963,94.78625989583003
Main Road_35,Main Road,High,29.77595082469774,70.64173175023008,111.74299165755546
Main Road_36,Main Road,High,29.17313166954052,70.64078333587274,84.59850006303078
Main Road_37,Main Road,High,29.374970645568244,70.96744081421714,152.99555569392496
Main Road_38,Main Road,High,29.600179872057055,70.61544283214283,128.56657807652698
Main Road_39,Main Road,High,29.60159825535305,71.0605217832578,119.09443660601922
Water Supply Station_40,Water Supply Station,Medium,29.828897331840583,70.73240293537987,100.02543955112961
Water Supply Station_41,Water Supply Station,Medium,29.515206193270128,71.1379601906167,133.74116722171027
Water Supply Station_42,Water Supply Station,Medium,29.495130400906806,70.7979970821986,127.95160926792194
Water Supply Station_43,Water Supply Station,Medium,29.45821692829257,70.8405115767619,152.7804906795866
Water Supply Station_44,Water Supply Station,Medium,29.84593097515091,71.07254834431092,87.78271610557775
