village_id,elevation_m,distance_from_river_km,population,lat,lon,rainfall_mm,river_level_m,risk_score,risk_level,estimated_affected
Village_1,109.963209507789,19.736811054128832,5298,29.39963209507789,71.0281407691144,93.0,7.92,92.5,High,4900
Village_2,156.0571445127933,5.392007662879814,7045,29.86057144512793,70.55973902572669,80.4,7.25,100.0,High,7044
Village_3,138.5595153449124,13.098743741133484,7373,29.685595153449125,70.81138755073088,91.1,7.49,99.9,High,7364
Village_4,127.89267873576293,15.01415693712004,6175,29.57892678735763,70.87393165508963,88.2,7.22,99.9,High,6167
Village_5,92.48149123539493,1.6380351116399443,661,29.22481491235395,70.437160330176,68.9,5.99,100.0,High,660
Village_6,92.47956162689621,15.38484887158524,4797,29.224795616268963,70.88603588152115,89.9,7.83,100.0,High,4796
Village_7,84.64668897345595,4.677841030338643,2481,29.14646688973456,70.53641929894982,35.8,4.73,0.0,Low,0
Village_8,149.2940916619948,2.093764028139348,1495,29.792940916619948,70.45204127438822,42.7,5.01,100.0,High,1494
Village_9,128.0892009394567,23.747695662706665,6913,29.580892009394567,71.15910842980266,32.9,5.0,0.0,Low,0
Village_10,136.64580622368362,24.157984810326703,5411,29.666458062236835,71.17250562645964,51.1,5.29,0.0,Low,0
Village_11,81.64675954366419,20.3057350288533,3842,29.116467595436642,71.04671787849317,55.3,6.01,7.9,Low,301
Village_12,157.59278817295956,7.9630373447475815,5051,29.875927881729595,70.64369101533869,47.6,5.47,0.0,Low,1
Village_13,146.59541126403374,2.892966793156405,4298,29.765954112640337,70.4781376912051,83.9,6.88,100.0,High,4297
Village_14,96.9871288542621,17.263709149547843,1775,29.26987128854262,70.94738642120973,53.2,5.64,99.4,High,1763
Village_15,94.54599737656805,11.283736096620231,1516,29.24545997376568,70.75212199499168,48.3,5.7,100.0,High,1515
Village_16,94.6723607882747,3.4899367536970813,6939,29.246723607882746,70.49763058787582,65.3,6.5,100.0,High,6938
Village_17,104.33937943676301,12.631834297726119,7363,29.34339379436763,70.79614152808901,39.2,5.41,0.4,Low,30
Village_18,121.98051453057903,1.3425187673228507,837,29.51980514530579,70.42751081689217,82.1,7.21,100.0,High,836
Village_19,114.55560149136926,22.778349850930162,1378,29.44555601491369,71.12745632166302,34.8,5.75,0.0,Low,0
Village_20,103.29833121584335,6.840109549200415,1576,29.332983312158433,70.60702398528001,94.1,7.43,100.0,High,1575
Village_21,128.94823157779035,16.731795966672557,5387,29.589482315777904,70.93001782748318,80.2,6.89,99.6,High,5366
Village_22,91.15950885216334,8.136921364190568,4493,29.211595088521634,70.64936886087152,42.9,5.13,100.0,High,4491
Village_23,103.37157188281745,13.241666518856364,6860,29.333715718828174,70.81605441694225,30.4,4.09,0.0,Low,0
Village_24,109.30894746349534,13.894401843910352,5359,29.393089474634955,70.83736822347463,83.0,7.46,100.0,High,5358
Village_25,116.48559873736288,5.028934160375412,6831,29.464855987373628,70.54788356442042,75.9,7.07,100.0,High,6830
